header,w_length,date_type,date,label
"### $ 694/ 19 - أحمد بن حنبل [164 - 241]
",710,full,241,pre-Fatimid
"### $ 694/ 20 - الإمام أحمد بن حنبل [164 - 241]
",14206,full,241,pre-Fatimid
"### $ 2013 - المؤذن صدرة [- 241]
",79,death,241,pre-Fatimid
"### $ 2489 - أبو جعفر ابن قراد [- 241]
",29,death,241,pre-Fatimid
"### $ 2515 - أبو عبد الرحمن ابن حديج [- 241]
",38,death,241,pre-Fatimid
"### $ 2593 - محمد بن عبد الله القمي [- بعد 241]
",417,death,241,pre-Fatimid
"### $ 61 - أبو إسحاق العنبري الطوسي [- بعد 242]
",208,death,242,pre-Fatimid
"### $ 2024 - محمد ms2348 بن الحجاج بن رشدين المهري [- 242]
",75,death,242,pre-Fatimid
"### $ 1127 - حرملة الزميلي صاحب الشافعي [166 - 243]
",522,full,243,pre-Fatimid
"### $ 1337 - خالد بن عبد السلام الصدفي [- 244]
",45,death,244,pre-Fatimid
"### $ 2193 - أبو حيان الرقي [- 244]
",27,death,244,pre-Fatimid
"### $ 3565 - محمد بن يزيد التنوخي [- 244]
",21,death,244,pre-Fatimid
"### $ 239 - ابن أبي الفياض البرقي [- 245]
",75,death,245,pre-Fatimid
"### $ 670 - أحمد بن نصر المقرئ [- 245]
",265,death,245,pre-Fatimid
"### $ 3065 - ماني الموسوس [- 245]
",252,death,245,pre-Fatimid
"### $ 2202 - ابن خشيش [- 246]
",27,death,246,pre-Fatimid
"### $ 3514 - محمد بن يحيى بن حسان، أبو عبد الله [- 246]
",42,death,246,pre-Fatimid
"### $ 1306 - أبو خليفة الرعيني العبلي [- 247]
",192,death,247,pre-Fatimid
"### $ 2273 - محمد بن سعيد بن كثير [- 247]
",48,death,247,pre-Fatimid
"### $ 450 - ابن الطبري الحافظ [170 - 248]
",2112,full,248,pre-Fatimid
"### $ 1635 - أبو جعفر الأسباطي [- 248]
",60,death,248,pre-Fatimid
"### $ 2291 - محمد بن سلمة الجملي المرادي [- 248]
",123,death,248,pre-Fatimid
"### $ 2324 - محمد بن سهل القصار [- 248]
",15,death,248,pre-Fatimid
"### $ 2327 - أبو جعفر ابن سوار الكوفي [- 248]
",94,death,248,pre-Fatimid
"### $ 2502 - محمد بن عبد العزيز العسال [- 248]
",36,death,248,pre-Fatimid
"### $ 110 - ابن مرتنيل [القرطبي] [- 249]
",169,death,249,pre-Fatimid
"### $ 680 - ابن وزير التجيبي [171 - 250]
",132,full,250,pre-Fatimid
"### $ 1114 - الحارث بن مسكين [154 - 250]
",3230,full,250,pre-Fatimid
"### $ 541 - أبو الطاهر ابن السرح الأموي [- 250]
",48,death,250,pre-Fatimid
"### $ 1217 - الحسن بن مهاجر [- بعد 250]
",570,death,250,pre-Fatimid
"### $ 2016 - ابن أبي الليث قاضي مصر [- 250]
",649,death,250,pre-Fatimid
"### $ 2235 - محمد بن داود المهري [- 250]
",110,death,250,pre-Fatimid
"### $ 3485 - أبو عبد الله السلمي الزاهد [- 250]
",99,death,250,pre-Fatimid
"### $ 3625 - محمد بن يونس بن عبد الأعلى [- 250]
",7,death,250,pre-Fatimid
"### $ 1291 - حميد بن زنجويه [180 - 251]
",322,full,251,pre-Fatimid
"### $ 218 - أبو إسحاق ابن عبد الجبار الأزدي [- 251]
",44,death,251,pre-Fatimid
"### $ 1753 - أبو عبد الله الباهلي [- 251]
",29,death,251,pre-Fatimid
"### $ 3477 - محمد بن هشام السدوسي [- 251]
",92,death,251,pre-Fatimid
"### $ 2843 - أبو جعفر ابن شداد البغدادي [- 253]
",31,death,253,pre-Fatimid
"### $ 626 - ابن مدرك [- 254]
",62,death,254,pre-Fatimid
"### $ 1354 - خالد بن نجيح [- 254]
",47,death,254,pre-Fatimid
"### $ 3094 - أبو بكر ابن الأشعث الرازي [- 254]
",25,death,254,pre-Fatimid
"### $ 1498 - الدارمي الحافظ [181 - 255]
",479,full,255,pre-Fatimid
"### $ 602 - بغا الأصغر [- 255]
",71,death,255,pre-Fatimid
"### $ 1308 - حميد بن يحيى الغافقي [- 255]
",50,death,255,pre-Fatimid
"### $ 1497 - ابن عبد الحميد [العمري] الناسك [- بعد 255]
",2547,death,255,pre-Fatimid
"### $ 1758 - العتبي القرطبي [- 255]
",254,death,255,pre-Fatimid
"### $ 2232 - محمد بن داود الواسطي الشاعر [- بعد 255]
",24,death,255,pre-Fatimid
"### $ 2479 - محمد بن سحنون [202 - 256]
",142,full,256,pre-Fatimid
"### $ 991 - بهم القائد الطولوني [- بعد 256]
",89,death,256,pre-Fatimid
"### $ 1110 - أبو الأسد الهمداني [- 256]
",46,death,256,pre-Fatimid
"### $ 1159 - الحسن بن شعرة [- 256]
",251,death,256,pre-Fatimid
"### $ 1663 - ابن زبريق [- 256]
",68,death,256,pre-Fatimid
"### $ 1806 - ابن أبي فروة الشعباني [- 256]
",200,death,256,pre-Fatimid
"### $ 3419 - أبو عامر ابن نجيح [- 256]
",41,death,256,pre-Fatimid
"### $ 1166 - الحسن بن عبد العزيز الجروي [- 257]
",160,death,257,pre-Fatimid
"### $ 1416 - طغلغ، أحد قواد أحمد بن طولون [- بعد 257]
",26,death,257,pre-Fatimid
"### $ 549 - أبو مسعود الرازي الأصبهاني [- 258]
",372,death,258,pre-Fatimid
"### $ 2276 - محمد بن سعيد الأيلي [- 258]
",31,death,258,pre-Fatimid
"### $ 3525 - أبو معاوية ابن حرملة التجيبي [- 258]
",22,death,258,pre-Fatimid
"### $ 3548 - أبو غزية الزهري [- 258]
",57,death,258,pre-Fatimid
"### $ 378 - ابن الصوفي العلوي [- 259]
",236,death,259,pre-Fatimid
"### $ 394 - أبو إسحاق الجوزجاني [- 259]
",184,death,259,pre-Fatimid
"### $ 2290 - محمد بن سلمة التجيبي [- 259]
",21,death,259,pre-Fatimid
"### $ 2954 - أبو جعفر السوسي [- 259]
",215,death,259,pre-Fatimid
"### $ 3404 - محمد بن موسى بن شاكر المنجم [- 259]
",23,death,259,pre-Fatimid
"### $ 148 - أبو الحسن التجيبي العامري [- 260]
",32,death,260,pre-Fatimid
"### $ 291 - أبو إسحاق الطحاوي [- 260]
",86,death,260,pre-Fatimid
"### $ 2014 - ابن أبي سعد القرطبي [- 260]
",94,death,260,pre-Fatimid
"### $ 2258 - محمد بن سعيد [الصائغ] القرطبي [- 260]
",44,death,260,pre-Fatimid
"### $ 2402 - أبو بكر الجعفي [- 260]
",129,death,260,pre-Fatimid
"### $ 1561 - عبد الله بن القاسم الحسيني [- 261]
",334,death,261,pre-Fatimid
"### $ 2228 - ابن درهم الملولي [- 261]
",58,death,261,pre-Fatimid
"### $ 2799 - ابن محرز البغدادي [- 261]
",96,death,261,pre-Fatimid
"### $ 2939 - أبو الكروس الكلبي [- 261]
",125,death,261,pre-Fatimid
"### $ 401 - أبان بن عيسى القرطبي [- 262]
",120,death,262,pre-Fatimid
"### $ 1644 - أبو عبد الرحمن الكثيري [- 262]
",56,death,262,pre-Fatimid
"### $ 1882 - البيكندي [- 262]
",43,death,262,pre-Fatimid
"### $ 2026 - أبو جعفر الحمصي الجوهري [- 262]
",68,death,262,pre-Fatimid
"### $ 2572 - أبو الحسين الأصبهاني [- 262]
",56,death,262,pre-Fatimid
"### $ 2573 - الحافظ أبو سيار البغدادي [- 262]
",116,death,262,pre-Fatimid
"### $ 2578 - أبو بكر السكري [- 262]
",123,death,262,pre-Fatimid
"### $ 285 - أبو بكر ابن العاصي المكي [- 263]
",31,death,263,pre-Fatimid
"### $ 1661 - ابن العاصي الأكبر [- 263]
",19,death,263,pre-Fatimid
"### $ 3389 - محمد بن مهدي أبو جعفر المصري، العطار [- 263]
",8,death,263,pre-Fatimid
"### $ 747 - المزني صاحب الشافعي [175 - 264]
",640,full,264,pre-Fatimid
"### $ 480 - بحشل ابن وهب [- 264]
",50,death,264,pre-Fatimid
"### $ 1208 - الحسن بن غالب الطرسوسي [- بعد 264]
",24,death,264,pre-Fatimid
"### $ 1747 - أبو عبد الله الحواري [- 264]
",25,death,264,pre-Fatimid
"### $ 2742 - ابن أخت غزال [- 264]
",116,death,264,pre-Fatimid
"### $ 3021 - محمد بن الفضل المعافري [- 264]
",19,death,264,pre-Fatimid
"### $ 3480 - أبو الفضل ابن هلال الطائي [- 264]
",52,death,264,pre-Fatimid
"### $ 627 - أبو بكر الرمادي البغدادي [182 - 265]
",256,full,265,pre-Fatimid
"### $ 164 - ابن شعيب الإلبيري [- 265]
",32,death,265,pre-Fatimid
"### $ 385 - إبراهيم الأرغياني الزاهد [- 265]
",198,death,265,pre-Fatimid
"### $ 1267 - عرق الموت [- بعد 265]
",227,death,265,pre-Fatimid
"### $ 2246 - ابن دلويه الزاهد [- 265]
",72,death,265,pre-Fatimid
"### $ 130 - ابن أبي طيبة العدوي [- 266]
",57,death,266,pre-Fatimid
"### $ 563 - أبو أيوب ابن شجاع [- 266]
",260,death,266,pre-Fatimid
"### $ 1218/ 3 - الحسن بن محمد اليزيدي [- بعد 266]
",25,death,266,pre-Fatimid
"### $ 1958 - ابن تميم العنبري الإفريقي [- 266]
",44,death,266,pre-Fatimid
"### $ 2181 - أبو قرة الحجري [- 266]
",80,death,266,pre-Fatimid
"### $ 909 - بحر بن نصر الخولاني [180 - 267]
",133,full,267,pre-Fatimid
